url,label
12minutos.com,fake news
16wmpo.com,fake news
20minutenews.com,fake news
247newsmedia.com,fake news
24aktuelles.com,fake news
24online.news,fake news
24usainfo.com,fake news
24wpn.com,fake news
abcnews.com.co,fake news
actualite.co,fake news
actualites.co,fake news
adobochronicles.com,fake news
alabamaobserver.com,fake news
aldipest.com,fake news
alertchild.com,fake news
alynews.com,fake news
americafans.com,fake news
americanflare.com,fake news
americanflavor.news,fake news
americanjournalreview.com,fake news
americanpeoplenetwork.com,fake news
americanpoliticnews.co,fake news
americanpresident.co,fake news
americanprides.com,fake news
americasnewest.com,fake news
amposts.com,fake news
anews-24.com,fake news
anews24.org,fake news
angrypatriotmovement.com,fake news
anonjekloy.tk,fake news
areyouasleep.com,fake news
asamericanasapplepie.org,fake news
associatedmediacoverage.com,fake news
aurora-news.us,fake news
badcriminals.com,fake news
baldwinpost.com,fake news
baltimoregazette.com,fake news
battypost.com,fake news
bb4sp.com,fake news
beforeitsnews.com,fake news
belgique.actualites.co,fake news
bients.com,fake news
bigbluevision.org,fake news
bignuggetnews.com,fake news
bizstandardnews.com,fake news
bluevision.news,fake news
bluevisionpost.com,fake news
borderherald.com,fake news
bostonleader.com,fake news
breakingtop.world,fake news
burrardstreetjournal.com,fake news
butthatsnoneofmybusiness.com,fake news
buzzfeedusa.com,fake news
cartelpress.com,fake news
cartelreport.com,fake news
celebtricity.com,fake news
channel16news.com,fake news
channel17news.com,fake news
channel18news.com,fake news
channel22news.com,fake news
channel23news.com,fake news
channel28news.com,fake news
channel34news.com,fake news
channel45news.com,fake news
channel5000.com,fake news
choiceandtruth.com,fake news
christiantimesnewspaper.com,fake news
christiantoday.info,fake news
chuckcallesto.blogspot.com,fake news
civictribune.com,fake news
clancyreport.com,fake news
clashdaily.com,fake news
clear-politics.com,fake news
cnn.com.de,fake news
cnnews3.com,fake news
consciouslyenlightened.com,fake news
conservativearmy88.com,fake news
conservativedailypost.com,fake news
conservativeflashnews.com,fake news
conservativeinfocorner.com,fake news
conservativeinsider.co,fake news
conservativespirit.com,fake news
conservativestudio.com,fake news
consnation.com,fake news
cooltobeconservative.com,fake news
daily-sun.com,fake news
dailycurrant.com,fake news
dailyfinesser.com,fake news
dailyinfobox.com,fake news
dailyinsidernews.com,fake news
dailynews10.com,fake news
dailynews11.com,fake news
dailynews3.com,fake news
dailynews33.com,fake news
dailynews5.com,fake news
dailynewsposts.info,fake news
dailyoccupation.com,fake news
dailypresser.com,fake news
dailysurge.com,fake news
dailyusaupdate.com,fake news
damnleaks.com,fake news
democraticmoms.com,fake news
denverguardian.com,fake news
denverinquirer.com,fake news
departed.co,fake news
departedmedia.com,fake news
dineal.com,fake news
disclose.tv,fake news
diyhours.net,fake news
donaldtrumpnews.co,fake news
donaldtrumppotus45.com,fake news
drugsofficial.com,fake news
embols.com,fake news
empireherald.com,fake news
empirenews.net,fake news
empiresports.co,fake news
en-volve.com,fake news
en.mediamass.net,fake news
endingthefed.com,fake news
enhlive.com,fake news
everydaybreakingnews.com,fake news
everynewshere.com,fake news
famousviralstories.com,fake news
fanzinger.com,fake news
federalistnation.com,fake news
federalisttribune.com,fake news
fedsalert.com,fake news
flashinfo.org,fake news
flashnewscorner.com,fake news
floridasunpost.com,fake news
focusnews.info,fake news
folksvideo.com,fake news
fox-news24.com,fake news
france.actualites.co,fake news
freddymag.com,fake news
freedomcrossroads.us,fake news
freedomdaily.com,fake news
freedomsfinalstand.com,fake news
freshdailyreport.com,fake news
friendsofsyria.wordpress.com,fake news
givemeliberty01.com,fake news
globalassociatednews.com,fake news
globalpoliticsnow.com,fake news
greenvillegazette.com,fake news
guerilla.news,fake news
guerillanews.com,fake news
gummypost.com,fake news
halturnershow.com,fake news
headlinebrief.com,fake news
healthyworldhouse.com,fake news
heaviermetal.net,fake news
hotglobalnews.com,fake news
houstonchronicle-tv.com,fake news
huzlers.com,fake news
ilovemyfreedom.org,fake news
interestingdailynews.com,fake news
intrendtoday.com,fake news
ipatriot.com,fake news
isthatlegit.com,fake news
jokerviral.com,fake news
kata33.com,fake news
klponews.com,fake news
km8news.com,fake news
kmt11.com,fake news
knp7.com,fake news
konkonsagh.biz,fake news
krbcnews.com,fake news
kspm33.com,fake news
kupr7.com,fake news
ky12news.com,fake news
ky6news.com,fake news
kypo6.com,fake news
ladylibertysnews.com,fake news
landrypost.com,fake news
lastdeplorables.com,fake news
liberalplug.com,fake news
liberty-courier.com,fake news
libertyalliance.com,fake news
libertywritersnews.com,fake news
local31news.com,fake news
localnews33.com,fake news
londonwebnews.com,fake news
lopezreport.com,fake news
madworldnews.com,fake news
mainerepublicemailalert.com,fake news
majorthoughts.com,fake news
maywoodpost.com,fake news
mbynews.com,fake news
mckenziepost.com,fake news
mediazone.news,fake news
metropolitanworlds.com,fake news
mississippiherald.com,fake news
morningnewsusa.com,fake news
mrnewswatch.com,fake news
msfanpage.link,fake news
msnbc.website,fake news
nationalinsiderpolitics.com,fake news
nationalreport.net,fake news
nbc.com.co,fake news
ncscooper.com,fake news
neonnettle.com,fake news
nephef.com,fake news
nevo.news,fake news
newpoliticstoday.com,fake news
news14kgpn.com,fake news
news14now.com,fake news
news4ktla.com,fake news
newsbiscuit.com,fake news
newsbreakingspipe.com,fake news
newsbreakshere.com,fake news
newsbuzzdaily.com,fake news
newsbysquad.com,fake news
newsdaily10.com,fake news
newsdaily12.com,fake news
newsdaily27.com,fake news
newsexaminer.net,fake news
newsfeedhunter.com,fake news
newsfeedobserver.com,fake news
newshubs.info,fake news
newsjustforyou1.blogspot.com,fake news
newsleak.co,fake news
newslo.com,fake news
newsnow17.com,fake news
newswatch33.com,fake news
newzmagazine.com,fake news
notallowedto.com,fake news
noticias365.info,fake news
now8news.com,fake news
nymeta.co,fake news
occupydemocrats.com,fake news
onepoliticalplaza.com,fake news
openmagazines.com,fake news
oreillypost.com,fake news
ourlandofthefree.com,fake news
paris.actualites.co,fake news
patriothangout.com,fake news
persecutes.com,fake news
politicops.com,fake news
politicot.com,fake news
politicsusanews.com,fake news
powerdaily.us,fake news
president45donaldtrump.com,fake news
pressunion.org,fake news
prntly.com,fake news
proudleader.com,fake news
qualitysharing.com,fake news
react365.com,fake news
readconservatives.news,fake news
realnewsrightnow.com,fake news
redcountry.us,fake news
redinfo.us,fake news
redrocktribune.com,fake news
redstatewatcher.com,fake news
religionmind.com,fake news
rickwells.us,fake news
rilenews.com,fake news
rogue-nation3.com,fake news
rumorjournal.com,fake news
satiratribune.com,fake news
scrapetv.com,fake news
smhwtfnews.com,fake news
snoopack.com,fake news
socialeverythings.com,fake news
southernconservativeextra.com,fake news
spinzon.com,fake news
statenation.co,fake news
states-tv.com,fake news
stgeorgegazette.com,fake news
straightstoned.com,fake news
stuppid.com,fake news
success-street.com,fake news
supremepatriot.com,fake news
tdnewswire.com,fake news
tdtalliance.com,fake news
teddystick.com,fake news
telegraphsun.com,fake news
the-insider.co,fake news
the-postillon.com,fake news
theavocadonews.com,fake news
thebostontribune.com,fake news
thebreakingnews.co,fake news
theexaminer.site,fake news
thefrt.com,fake news
theinternationalreporter.org,fake news
theinternetpost.net,fake news
thelastlineofdefense.org,fake news
themoralofthestory.us,fake news
thenationalsun.com,fake news
thenet24h.com,fake news
thenewsnerd.com,fake news
thenewyorkevening.com,fake news
thenochill.com,fake news
thepoliticaltribune.com,fake news
thepremiumnews.com,fake news
theracketreport.com,fake news
thereporterz.com,fake news
therightists.com,fake news
theseattletribune.com,fake news
thetrumpmedia.com,fake news
theusa-news.com,fake news
theusaconservative.com,fake news
thevalleyreport.com,fake news
thewashingtonpress.com,fake news
times.com.mx,fake news
tmzbreaking.com,fake news
tmzbusiness.com,fake news
tmzcomedy.com,fake news
tmzhiphop.com,fake news
tmzuncut.com,fake news
tmzurban.com,fake news
tmzworldnews.com,fake news
tmzworldstarnews.com,fake news
trueamericans.me,fake news
truetrumpers.com,fake news
truthkings.com,fake news
undergroundnewsreport.com,fake news
unitedmediapublishing.com,fake news
universepolitics.com,fake news
usa-conservative.com,fake news
usa-radio.com,fake news
usa-television.com,fake news
usadailyinfo.com,fake news
usadailypost.us,fake news
usadailytime.com,fake news
usadosenews.com,fake news
usafirstinformation.com,fake news
usanews4u.us,fake news
usanewsflash.com,fake news
usanewshome.com,fake news
usanewstoday.com,fake news
usapolitics24hrs.com,fake news
usapoliticsnow.com,fake news
usapoliticstoday.com,fake news
usapoliticszone.com,fake news
usasnich.com,fake news
usatodaynews.me,fake news
usatodaypolitics.com,fake news
usaworldbox.com,fake news
ushealthyadvisor.com,fake news
ushealthylife.com,fake news
usherald.com,fake news
usinfonews.com,fake news
uspoln.com,fake news
uspostman.com,fake news
vesselnews.io,fake news
viralactions.com,fake news
viralcocaine.com,fake news
viralcords.com,fake news
viraldevil.com,fake news
viralmugshot.com,fake news
viralpropaganda.com,fake news
viralspeech.com,fake news
viralstuppid.com,fake news
voxtribune.com,fake news
washingtonevening.com,fake news
washingtonfeed.com,fake news
washingtonpost.com.co,fake news
wazanews.tk,fake news
wcpm3.com,fake news
weconservative.com,fake news
weekendherald.com,fake news
wetheproudpatriots.com,fake news
wftj8news.com,fake news
whatsupic.com,fake news
witscience.org,fake news
wleb21.com,fake news
wm21news.com,fake news
wmacnews.com,fake news
wmb36.com,fake news
world-politicus.com,fake news
worldinformation24.info,fake news
worldnewsdailyreport.com,fake news
worldnewspolitics.com,fake news
worldpoliticsnow.com,fake news
worldpoliticus.com,fake news
wrejnews.com,fake news
wrpt16.com,fake news
wtoe5news.com,fake news
xbn-news.com,fake news
yesimright.com,fake news
yournewswire.com,fake news
zootfeed.com,fake news
